Time (s)	Pulse Interval (ms)
14496.538	735
14497.269	740
14498.011	735
14498.744	735
14499.479	730
14500.209	720
14500.933	735
14501.664	730
14502.396	730
14503.126	730
14503.856	720
14504.576	720
14505.295	730
14506.025	715
14506.74	760
14507.499	730
14508.231	720
14508.953	725
14509.676	720
14510.398	720
14511.114	715
14511.831	715
14512.546	720
14513.268	720
14513.986	720
14514.704	710
14515.418	725
14516.139	720
14516.859	715
14517.574	725
14518.303	725
14519.024	715
14519.741	725
14520.466	720
14521.186	725
14521.911	720
14522.631	720
14523.349	725
14524.074	715
14524.789	720
14525.511	720
14526.231	725
14526.952	710
14527.668	725
14528.391	690
14529.08	720
14529.8	710
14530.51	735
14531.248	720
14531.964	710
14532.676	715
14533.393	720
14534.109	705
14534.818	715
14535.529	710
14536.241	710
14536.949	715
14537.664	705
14538.371	715
14539.086	710
14539.798	710
14540.506	710
14541.218	715
14541.929	715
14542.644	710
14543.352	705
14544.061	715
14544.774	710
14545.486	710
14546.196	720
14546.914	710
14547.624	710
14548.338	710
14549.046	715
14549.763	715
14550.476	705
14551.181	720
14551.899	710
14552.611	715
14553.328	715
14554.037	710
14554.753	720
14555.471	715
14556.184	715
14556.901	715
14557.614	710
14558.328	725
14559.049	685
14559.735	545
14560.28	835
14561.115	720
14561.835	745
14562.581	715
14563.296	720
14564.014	715
14564.731	715
14565.444	720
14566.164	710
14566.878	720
14567.596	725
14568.321	710
14569.033	705
14569.735	730
14570.465	715
14571.18	750
14571.931	720
14572.651	730
14573.381	725
14574.104	725
14574.829	725
14575.556	720
14576.276	730
